Industry,Keyword,Intent,Priority,Est.Volume
Informational,AI coding tools overview,Informational,P1,800
Informational,how AI agent skills work,Informational,P1,250
Informational,guide to AI agent skills,Informational,P1,200
Informational,AI programming assistant guide,Informational,P2,1000
Informational,what are Cursor AI rules,Informational,P1,1200
Informational,how to create AI agent skills,Informational,P1,400
Informational,AI skills for software development,Informational,P2,500
Informational,using AI for code review,Informational,P2,2000
Informational,AI agent framework comparison,Informational,P1,600
Informational,reducing AI token usage,Informational,P1,300
Comparison,Claude Code vs Cursor,Commercial,P0,2500
Comparison,Claude Code vs GitHub Copilot,Commercial,P1,5000
Comparison,Cursor vs Copilot,Commercial,P1,8000
Comparison,best AI coding tools 2026,Commercial,P1,3000
Comparison,top AI coding assistants,Commercial,P1,2000
Comparison,AI agent skills vs MCP server,Informational,P1,200
Comparison,Claude Code alternatives,Commercial,P1,2000
Comparison,Cursor alternatives,Commercial,P2,1500
Comparison,best AI code assistants,Commercial,P1,4000
Comparison,AI coding tool comparison,Informational,P2,1000
Comparison,top AI agent skills 2026,Commercial,P1,300
Question,how to install skills in Claude Code,Informational,P1,500
Question,how to use AI coding tools effectively,Informational,P2,2000
Question,what skills should I install for Claude Code,Informational,P1,300
Question,how to create AI agent skills,Informational,P1,400
Question,where to find AI agent skills,Informational,P1,250
Question,how to reduce AI token usage,Informational,P1,400
Question,what is skills.sh,Informational,P1,200
Question,how to use MCP with Claude Code,Informational,P1,1500
Question,how to improve AI code output,Informational,P2,400
Question,what are the best AI coding tools,Informational,P1,700
Question,how to automate browser with AI,Informational,P2,500
Question,how to use Cursor AI effectively,Informational,P2,1200
Question,how to install Cursor rules,Informational,P1,600
Question,what is OpenCode AI,Informational,P1,300
Question,how to create custom AI agent skills,Informational,P1,250
